% Model,2D_rectangle.mph
% Version,COMSOL 6.3.0.290
% Date,"May 17 2025, 15:20"
% Table,Table 3 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.023700000000000002,10.008600131680815
0.0238,10.008417837849143
0.0239,10.008235544017477
0.024,10.008053250185807
0.0241,10.007870956354138
0.024200000000000003,10.007688662522467
0.024300000000000002,10.0075063686908
0.0244,10.00732407485913
0.0245,10.00714178102746
0.0246,10.00695948719579
0.0247,10.006777193364123
0.024800000000000003,10.006594899532455
0.024900000000000002,10.006412605700785
0.025,10.006230311869112
0.0251,10.006048018037442
0.0252,10.005865724205774
0.0253,10.005683430374104
0.025400000000000002,10.005501136542438
0.025500000000000002,10.005318842710771
0.0256,10.005136548879095
0.0257,10.004954255047428
0.0258,10.00477196121576
0.025900000000000003,10.00458966738409
0.026000000000000002,10.004407373552421
0.0261,10.00422507972075
0.0262,10.00404278588908
0.0263,10.003860492057415
0.0264,10.003678198225746
0.026500000000000003,10.003495904394075
0.026600000000000002,10.003313610562403
0.0267,10.003131316730736
0.0268,10.002949022899065
0.0269,10.002766729067394
0.027,10.002584435235725
0.027100000000000003,10.002402141404056
0.027200000000000002,10.002219847572388
0.0273,10.002037553740719
0.0274,10.00190780481516
0.0275,10.001878301462703
0.027600000000000003,10.001848798110244
0.027700000000000002,10.001819294757784
0.027800000000000002,10.001789791405333
0.0279,10.001760288052875
0.028,10.001730784700412
0.0281,10.001701281347957
0.028200000000000003,10.001671777995496
0.028300000000000002,10.001642274643041
0.0284,10.001612771290583
0.0285,10.001583267938122
0.0286,10.001553764585665
0.0287,10.001524261233213
0.028800000000000003,10.001494757880751
0.028900000000000002,10.001465254528298
0.029,10.001435751175839
0.0291,10.001406247823377
0.0292,10.001376744470923
0.029300000000000003,10.001347241118463
0.029400000000000003,10.001317737766003
0.029500000000000002,10.001288234413554
0.0296,10.00125873106109
0.0297,10.001229227708633
0.0298,10.001199724356171
0.029900000000000003,10.001170221003715
0.030000000000000002,10.001140717651259
0.030100000000000002,10.001111214298804
0.0302,10.001081710946341
0.0303,10.001052207593888
0.0304,10.00102270424143
0.030500000000000003,10.000993200888969
0.030600000000000002,10.000963697536513
0.0307,10.000934194184055
0.0308,10.000904690831591
0.0309,10.00087518747914
0.031,10.000845684126677
0.031100000000000003,10.000816180774223
0.031200000000000002,10.00078667742177
0.0313,10.000757174069308
0.031400000000000004,10.000727670716854
0.0315,10.000698167364392
0.0316,10.00066866401193
0.0317,10.000639160659473
0.0318,10.000609657307017
0.031900000000000005,10.000580153954562
0.032,10.000550650602097
0.032100000000000004,10.000521147249641
0.0322,10.000491643897183
0.0323,10.00046214054473
0.0324,10.000432637192267
0.0325,10.000403133839816
0.032600000000000004,10.000373630487355
0.0327,10.000344127134898
0.0328,10.000314623782442
0.0329,10.000285120429979
0.033,10.000255617077524
0.033100000000000004,10.000226113725066
0.0332,10.000196610372607
0.0333,10.000167107020147
0.0334,10.000146044375189
0.0335,10.000141084976454
0.033600000000000005,10.000136125577708
0.0337,10.000131166178969
0.033800000000000004,10.000126206780225
0.0339,10.000121247381486
0.034,10.000116287982742
0.0341,10.000111328584003
0.0342,10.00010636918526
0.034300000000000004,10.000101409786517
0.0344,10.000096450387778
0.0345,10.000091490989039
0.0346,10.000086531590295
0.0347,10.000081572191554
0.034800000000000005,10.000076612792816
0.0349,10.000071653394068
0.035,10.000066693995334
0.0351,10.000061734596589
0.0352,10.000056775197846
0.035300000000000005,10.000051815799107
0.0354,10.000046856400363
0.035500000000000004,10.000041897001626
0.0356,10.000036937602879
0.0357,10.000031978204142
0.0358,10.0000270188054
0.0359,10.00002205940666
0.036000000000000004,10.000017100007918
0.0361,10.000012140609176
0.0362,10.00000718121043
0.0363,10.000002221811695
0.0364,9.999997262412954
0.036500000000000005,9.999992303014213
0.0366,9.99998734361547
0.0367,9.999982384216723
0.0368,9.999977424817988
0.0369,9.99997246541925
0.037000000000000005,9.999967506020509
0.0371,9.999962546621765
0.037200000000000004,9.999957587223028
0.0373,9.999952627824282
0.0374,9.999947668425541
0.0375,9.9999427090268
0.0376,9.99993774962806
0.037700000000000004,9.999932790229316
0.0378,9.999927830830579
