% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"May 19 2025, 17:47"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)","Molar concentration, c (mol/m^3)"
0.013300000000000001,6.247485020423783E-22,-1.5198137691643557E-22
0.0134,4.374645046974522E-22,-1.3248581926829175E-22
0.0135,3.2353740570756146E-22,-1.129902616201479E-22
0.013600000000000001,2.7638123580813617E-22,-9.349470397200372E-23
0.0137,2.292250659087118E-22,-7.399914632385993E-23
0.013800000000000002,1.8206889600928647E-22,-5.450358867571575E-23
0.013900000000000001,1.3491272610986207E-22,-3.500803102757193E-23
0.014,8.775655621043761E-23,-1.5512473379428106E-23
0.014100000000000001,4.060038631101243E-23,3.9830842687160514E-24
0.0142,-6.555783588412013E-24,2.347864191685991E-23
0.0143,-5.371195348783644E-23,4.29741995650037E-23
0.014400000000000001,-7.333389722918625E-23,6.246975721314789E-23
0.0145,-7.477775133633983E-23,8.196531486129172E-23
0.0146,-7.62216054434934E-23,1.0146087250943555E-22
0.014700000000000001,-7.766545955064697E-23,1.2095643015757974E-22
0.0148,-7.91093136578006E-23,1.4045198780572356E-22
0.0149,-8.055316776495417E-23,1.5994754545386736E-22
0.015000000000000001,-8.19970218721078E-23,1.7944310310201153E-22
0.0151,-8.34408759792613E-23,1.9217127323716724E-22
0.0152,-8.488473008641491E-23,1.896212695649166E-22
0.015300000000000001,-8.63285841935685E-23,1.8707126589266585E-22
0.0154,-8.777243830072206E-23,1.8452126222041524E-22
0.0155,-8.921629240787564E-23,1.819712585481646E-22
0.015600000000000001,-9.066014651502922E-23,1.7942125487591385E-22
0.015700000000000002,-9.210400062218287E-23,1.7687125120366327E-22
0.0158,-9.354785472933643E-23,1.7432124753141255E-22
0.0159,-9.499170883648997E-23,1.7177124385916185E-22
0.016,-9.643556294364356E-23,1.692212401869113E-22
0.0161,-9.787941705079711E-23,1.6667123651466058E-22
0.0162,-9.655751529567788E-23,1.6412123284241E-22
0.016300000000000002,-9.43622731433982E-23,1.6157122917015923E-22
0.0164,-9.216703099111858E-23,1.5902122549790858E-22
0.0165,-8.997178883883901E-23,1.5647122182565793E-22
0.0166,-8.777654668655938E-23,1.5392121815340726E-22
0.0167,-8.558130453427976E-23,1.513712144811566E-22
0.016800000000000002,-8.338606238200013E-23,1.4882121080890592E-22
0.016900000000000002,-8.119082022972046E-23,1.462712071366553E-22
0.017,-7.899557807744086E-23,1.437212034644046E-22
0.0171,-7.680033592516126E-23,1.41171199792154E-22
0.0172,-7.460509377288165E-23,1.3862119611990332E-22
0.0173,-7.240985162060203E-23,1.360711924476527E-22
0.017400000000000002,-7.021460946832233E-23,1.3352118877540197E-22
0.0175,-6.801936731604274E-23,1.3097118510315135E-22
0.0176,-6.582412516376312E-23,1.2842118143090065E-22
0.0177,-6.362888301148355E-23,1.2587117775865007E-22
0.0178,-6.143364085920392E-23,1.233211740863994E-22
0.0179,-5.923839870692428E-23,1.2077117041414877E-22
0.018000000000000002,-5.70431565546446E-23,1.18221166741898E-22
0.0181,-5.484791440236501E-23,1.1567116306964736E-22
0.0182,-5.265267225008538E-23,1.1312115939739668E-22
0.0183,-5.0457430097805785E-23,1.1057115572514603E-22
0.0184,-4.826218794552617E-23,1.080211520528954E-22
0.018500000000000003,-4.606694579324646E-23,1.0547114838064468E-22
0.018600000000000002,-4.387170364096689E-23,1.0292114470839401E-22
0.0187,-4.167646148868727E-23,1.0037114103614338E-22
0.0188,-3.948121933640767E-23,9.823722205894115E-23
0.0189,-3.728597718412806E-23,9.653887578420684E-23
0.019,-3.509073503184843E-23,9.484052950947245E-23
0.019100000000000002,-3.289549287956875E-23,9.314218323473801E-23
0.019200000000000002,-3.0700250727289137E-23,9.144383696000367E-23
0.0193,-2.8505008575009535E-23,8.974549068526934E-23
0.0194,-2.6309766422729928E-23,8.804714441053494E-23
0.0195,-2.4114524270450318E-23,8.634879813580061E-23
0.0196,-2.1919282118170702E-23,8.465045186106626E-23
0.019700000000000002,-1.9851211677455968E-23,8.295210558633184E-23
0.0198,-1.9343472107003104E-23,8.125375931159749E-23
0.0199,-1.883573253655024E-23,7.955541303686311E-23
0.02,-1.8327992966097377E-23,7.785706676212873E-23
0.0201,-1.7820253395644514E-23,7.615872048739439E-23
0.020200000000000003,-1.7312513825191633E-23,7.446037421265996E-23
0.020300000000000002,-1.6804774254738772E-23,7.276202793792562E-23
